36	LEAVE:PEERLIST
39	ARRIVE:PEERLIST
41	LEAVE:HARD_RECOVERY
43	ARRIVE:PEERLIST
45	LEAVE:PEERLIST
52	ARRIVE:PEERLIST
53	LEAVE:HARD_RECOVERY
54	ARRIVE:PEERLIST
55	LEAVE:HARD_RECOVERY
63	ARRIVE:PEERLIST
65	LEAVE:HARD_RECOVERY
68	ARRIVE:PEERLIST
71	LEAVE:PEERLIST
74	ARRIVE:PEERLIST
76	LEAVE:HARD_RECOVERY
79	ARRIVE:PEERLIST
80	LEAVE:HARD_RECOVERY
81	ARRIVE:PEERLIST
82	LEAVE:HARD_RECOVERY
84	ARRIVE:PEERLIST
87	LEAVE:HARD_RECOVERY
96	ARRIVE:PEERLIST
97	LEAVE:PEERLIST
100	ARRIVE:PEERLIST
103	LEAVE:HARD_RECOVERY
103	ARRIVE:PEERLIST
104	LEAVE:PEERLIST
108	ARRIVE:PEERLIST
110	LEAVE:HARD_RECOVERY
117	ARRIVE:PEERLIST
118	LEAVE:PEERLIST
118	ARRIVE:PEERLIST
120	LEAVE:HARD_RECOVERY
135	ARRIVE:PEERLIST
137	LEAVE:HARD_RECOVERY
142	ARRIVE:PEERLIST
144	LEAVE:HARD_RECOVERY
145	ARRIVE:PEERLIST
148	LEAVE:HARD_RECOVERY
152	ARRIVE:PEERLIST
154	LEAVE:HARD_RECOVERY
160	ARRIVE:PEERLIST
162	LEAVE:HARD_RECOVERY
165	ARRIVE:PEERLIST
166	LEAVE:PEERLIST
174	ARRIVE:PEERLIST
175	LEAVE:HARD_RECOVERY
175	ARRIVE:PEERLIST
178	LEAVE:PEERLIST
180	ARRIVE:PEERLIST
184	LEAVE:PEERLIST
185	ARRIVE:PEERLIST
186	LEAVE:HARD_RECOVERY
198	ARRIVE:PEERLIST
## STAGE: [90, 90, 90, 90, 90, 90, 90, 90, 90, 90]
** LOG START zapdos.freedm:30000 2 2015-Mar-06 07:46:07.000930
5	ARRIVE:PEERLIST
12	LEAVE:HARD_RECOVERY
16	ARRIVE:PEERLIST
